RSSI,Incumplimiento
41,1
42,1
40,1
41,1
40,1
40,1
44,1
45,1
38,1
42,1
37,1
39,1
58,1
50,1
50,1
48,1
49,1
48,1
49,1
49,1
57,1
49,1
39,1
39,1
38,1
37,1
40,1
38,1
43,1
37,1
38,1
38,1
42,1
40,1
39,1
40,1
45,1
42,1
42,1
43,1
40,1
45,1
41,1
37,1
48,1
49,1
46,1
58,1
60,1
57,1
52,1
56,1
55,1
51,1
55,1
53,1
61,1
52,1
42,1
59,1
50,1
50,1
40,1
54,1
47,1
31,1
30,1
32,1
31,1
33,1
47,1
44,1
42,1
38,1
41,1
47,1
43,1
40,1
43,1
35,1
36,1
37,1
38,1
40,1
41,1
44,1
38,1
38,1
39,1
39,1
38,1
38,1
42,1
38,1
38,1
39,1
40,1
41,1
41,1
46,1
38,1
39,1
40,1
36,1
42,1
38,1
40,1
38,1
54,1
56,1
45,1
54,1
55,1
48,1
56,1
56,1
55,1
54,1
47,1
49,1
54,1
57,1
53,1
58,1
48,1
50,1
51,1
45,1
37,1
32,1
34,1
44,1
47,1
47,1
50,1
34,1
37,1
34,1
36,1
32,1
34,1
34,1
32,1
35,1
39,1
41,1
42,1
43,1
42,1
37,1
37,1
39,1
39,1
39,1
38,1
36,1
38,1
40,1
42,1
43,1
40,1
41,1
46,1
44,1
46,1
43,1
46,1
49,1
44,1
50,1
51,1
45,1
50,1
50,1
47,1
46,1
54,1
47,1
47,1
47,1
55,1
42,1
45,1
54,1
47,1
50,1
56,1
48,1
50,1
47,1
47,1
47,1
50,1
47,1
44,1
45,1
46,1
46,1
50,1
45,1
47,1
46,1
47,1
48,1
45,1
46,1
44,1
46,1
60,1
44,1
37,1
38,1
39,1
39,1
39,1
38,1
36,1
38,1
45,1
39,1
37,1
38,1
40,1
41,1
37,1
39,1
38,1
38,1
42,1
38,1
40,1
53,1
48,1
48,1
44,1
43,1
50,1
44,1
38,1
46,1
48,1
40,1
38,1
42,1
39,1
46,1
44,1
46,1
42,1
47,1
31,1
31,1
32,1
32,1
33,1
33,1
32,1
31,1
30,1
30,1
31,1
